Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,$634.560413,$572.161763,$356.082213,$347.466463,$389.825287,$441.894002,$484.091641,$501.156515,$584.384267,$575.628479,$603.298025,$676.150011,$765.316178,$910.171262,"$1,166.638204","$1,608.163409","$2,109.526385","$3,064.279961","$3,908.949057","$2,917.366245","$3,143.029482","$3,462.681774","$3,643.715404","$3,833.157071","$4,017.229913","$3,666.141825","$3,679.952349","$4,041.995072","$4,391.923274","$4,828.504889","$4,505.867746","$4,966.513471","$7,014.206592"
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"$8,800.728810","$9,043.682367","$8,832.818519","$8,733.014287","$8,673.927195","$9,187.166344","$10,019.502250","$12,191.597730","$10,446.863210","$10,495.304730","$11,920.061090","$12,038.871590","$12,313.997360","$13,101.541820","$13,300.824610","$12,372.884780","$13,195.935900","$13,672.576660","$15,501.526340","$15,743.310760",nan
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"$1,208.677164","$1,366.092143","$1,688.309351","$2,025.474682","$2,271.831926","$2,519.803144","$2,784.737233","$3,187.981492","$3,703.786816","$4,488.196018","$5,239.458329","$6,230.466815","$6,895.386079","$7,255.406303","$7,569.969001","$7,721.763119","$8,129.144121","$8,788.013323","$8,440.034526","$9,079.481212","$9,556.832802","$10,029.477750","$10,379.160400","$11,010.197460","$10,502.938810","$10,549.666190","$10,968.892680","$11,650.848480","$12,808.010150","$14,310.686230","$16,006.136110","$16,457.104060","$14,530.598690","$13,404.516020","$13,117.146940","$13,686.476590","$13,350.149140","$14,004.811210","$14,861.882710","$15,862.651660","$16,110.312400","$17,514.355860","$18,187.779710","$15,284.772380","$16,740.348200","$18,745.173510"
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,"$1,810.597443","$1,877.600224","$1,854.641891","$1,967.108991","$2,131.380300","$2,281.011956","$2,343.819790","$2,580.110592","$2,724.130672","$2,991.385947","$3,304.837820","$3,495.141628","$3,949.461643","$4,770.714415","$6,482.831082","$7,003.842471","$7,486.684973","$7,775.577645","$8,252.652035","$9,294.359247","$10,208.576170","$11,853.436020","$12,778.855250","$11,515.495950","$12,421.361370","$11,441.049020","$11,391.436710","$11,650.841870","$14,284.429200","$17,834.447850","$18,249.533940","$18,860.273200","$18,624.590890","$17,700.115560","$18,129.790720","$20,446.719850","$22,020.079800","$23,645.057490","$21,478.385160","$20,698.712700","$21,853.449990","$19,681.645030","$20,290.780420","$23,705.907220","$30,819.993490","$34,460.543000","$36,570.763070","$41,023.754860","$49,681.219070","$42,810.465840","$52,132.469610","$62,598.686620","$68,047.378180","$68,156.386100","$62,515.314830","$56,708.961200","$49,876.712380","$53,934.154370","$57,206.990670","$54,941.065720","$51,722.069000","$60,444.502360","$64,491.429890"
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,$935.460427,"$1,031.815004","$1,087.834243","$1,167.000532","$1,269.412583","$1,374.532140","$1,486.968606","$1,569.667183","$1,677.673528","$1,825.386126","$2,058.769051","$2,380.978458","$2,924.048879","$3,890.722419","$4,630.757197","$5,285.620724","$5,678.386658","$6,810.627685","$8,205.468977","$9,793.765348","$10,869.546490","$9,385.249064","$9,410.347257","$9,537.407420","$8,991.065040","$9,172.096760","$13,083.072660","$16,392.769520","$17,578.618940","$17,468.946140","$21,680.989620","$22,410.911770","$24,880.164120","$24,081.527790","$25,646.700660","$30,325.849580","$29,809.076770","$26,705.478600","$27,361.875110","$27,183.475930","$24,625.600720","$24,558.763680","$26,527.593090","$32,294.048860","$36,889.233510","$38,417.457790","$40,669.326960","$46,915.337400","$51,919.983580","$48,153.324020","$46,903.761590","$51,442.276250","$48,564.917340","$50,731.127250","$51,786.377170","$44,195.817590","$45,307.587860","$47,429.158460","$51,466.556560","$50,070.403350","$48,809.226880","$53,637.705710","$52,131.446660"
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"$1,234.530890",$734.944233,$60.235121,$209.530955,$157.063550,$314.558197,$409.185623,$505.516204,$561.907035,$573.893297,$655.097433,$703.671250,$763.108765,$883.692581,"$1,045.014165","$1,578.367330","$2,472.957257","$3,851.331012","$5,574.470962","$4,950.397437","$5,843.533768","$7,189.815151","$7,495.861942","$7,875.344611","$7,890.835250","$5,500.504620","$3,880.686267","$4,147.198619","$4,739.795242","$4,805.753718","$4,229.910649","$5,408.045352","$7,736.701232"
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,$71.360224,$72.088782,$73.942008,$78.948269,$85.964725,$50.990420,$51.808640,$54.450305,$54.647466,$55.543775,$69.395109,$70.585523,$68.955330,$85.214644,$94.333463,$112.286107,$117.051879,$139.413264,$151.067992,$189.125941,$213.253435,$215.787603,$220.157010,$229.117726,$203.859830,$232.411825,$238.356917,$219.371301,$205.317919,$207.291950,$206.444928,$208.656723,$188.581167,$168.964076,$165.585935,$168.627168,$146.536182,$164.233446,$148.089542,$130.753024,$138.004617,$135.606476,$124.139302,$114.367007,$128.538422,$151.188541,$166.276245,$170.706876,$194.710635,$204.544756,$222.660583,$236.451347,$238.205945,$241.547666,$257.818557,$289.359627,$242.539527,$244.145422,$232.060617,$216.972971,$216.827417,$221.157803,$238.441876
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,"$1,273.691659","$1,350.197673","$1,438.523233","$1,535.023729","$1,701.846276","$1,835.594766","$1,957.626080","$2,086.636005","$2,222.361511","$2,458.081820","$2,765.890997","$3,082.927989","$3,831.631900","$4,900.962201","$5,733.798139","$6,701.377361","$7,243.047341","$8,426.946959","$10,289.768420","$11,810.615880","$12,864.002570","$10,622.802480","$9,343.861100","$8,846.234298","$8,457.268803","$8,750.818513","$12,170.040700","$15,135.852310","$16,391.093830","$16,525.061740","$20,600.375280","$21,041.660650","$23,372.619170","$22,283.936020","$24,208.554790","$28,413.826440","$27,489.555180","$24,820.938050","$25,338.443290","$25,252.801910","$23,098.886510","$23,015.071260","$25,006.191400","$30,655.209270","$35,429.407790","$36,809.701340","$38,705.106800","$44,319.165450","$48,303.397960","$44,760.291240","$44,184.946350","$47,410.566930","$44,670.560680","$46,757.951860","$47,764.071510","$41,008.296720","$42,012.622720","$44,198.482390","$47,544.981150","$46,641.711660","$45,517.903820","$51,268.388040","$49,582.825360"
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,$90.035831,$92.374860,$91.171392,$96.254664,$100.468088,$105.966856,$108.628227,$107.682862,$112.477968,$111.695273,$110.346950,$108.494719,$129.999625,$156.280349,$168.012266,$200.334312,$201.832907,$211.492883,$255.392387,$317.820417,$366.529526,$327.565036,$312.693213,$262.577340,$244.844368,$236.610586,$293.559632,$333.223118,$335.341923,$301.684930,$381.805056,$375.291996,$310.623720,$398.613027,$269.790587,$358.822987,$380.588287,$355.142072,$372.877347,$541.702259,$502.997981,$508.347447,$564.379058,$698.408777,$784.119075,$805.904686,$837.132003,$944.643171,"$1,098.946678","$1,061.718359","$1,009.489494","$1,099.414311","$1,112.569535","$1,214.295566","$1,251.504765","$1,041.652523","$1,049.820303","$1,095.274459","$1,194.438214","$1,170.965533","$1,237.949295","$1,361.100749","$1,303.222014"
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,$69.083195,$72.173766,$77.077334,$78.829086,$80.833860,$81.993527,$82.759216,$84.559491,$84.919326,$86.715117,$81.687732,$84.517988,$99.667065,$114.218524,$124.811538,$153.128823,$155.754990,$176.297470,$224.328553,$259.036507,$278.195451,$249.285464,$239.619496,$212.486988,$188.335761,$194.567891,$248.092870,$280.952705,$301.953489,$294.043724,$339.631823,$334.759654,$349.708108,$325.153666,$187.815138,$229.832660,$243.526923,$224.611344,$250.413945,$293.887445,$249.802076,$260.443473,$286.753715,$363.818352,$405.451276,$442.944431,$457.342075,$516.750328,$621.890271,$603.877545,$627.270395,$727.612475,$733.972879,$762.303780,$767.371344,$632.126686,$665.786328,$711.184544,$779.202768,$772.166878,$833.244336,$893.077196,$832.884266
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,$84.825334,$92.855109,$95.047801,$96.552206,$94.867554,$100.967872,$106.855719,$116.796316,$116.940530,$128.607921,$133.142940,$127.995448,$90.678366,$113.665703,$171.526205,$260.351516,$132.457485,$123.514493,$166.006422,$190.035792,$216.109852,$235.038391,$209.195742,$193.409373,$202.287849,$232.165822,$221.569619,$241.794908,$258.830537,$274.389424,$294.904657,$283.382285,$284.966978,$292.425347,$292.078820,$322.087390,$387.384863,$395.318052,$401.965180,$404.486143,$413.100185,$410.048541,$407.962968,$440.714405,$469.116458,$492.808649,$503.538332,$552.338935,$630.108979,$698.520942,$776.859577,$856.381887,$876.818007,$973.773900,"$1,108.514957","$1,236.004398","$1,659.962489","$1,815.610191","$1,963.412707","$2,122.078386","$2,233.305893","$2,457.924049","$2,688.303950"
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"$2,238.802958","$2,234.814816","$2,169.004011","$1,852.813434","$1,963.572676","$1,914.550647","$2,260.427281","$3,132.301360","$2,511.393063","$2,477.020818","$2,366.529821","$1,267.734375","$1,211.980878","$1,278.544420","$1,148.494399","$2,259.264831","$1,470.195347","$1,361.409249","$1,820.448320","$1,659.718611","$1,621.262107","$1,770.906779","$2,092.982886","$2,719.494892","$3,389.687613","$3,899.825138","$4,523.147525","$5,888.776852","$7,271.305201","$6,988.274819","$6,862.757687","$7,856.985958","$7,431.014045","$7,686.629222","$7,912.520540","$7,081.102336","$7,574.191264","$8,386.589202","$9,451.850870","$9,878.768872","$10,153.476600","$12,222.235650","$13,772.476790"
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"$8,474.188360","$9,187.979647","$9,323.749838","$9,227.679763","$9,316.380564","$8,407.163631","$6,780.143797","$7,270.200316","$7,660.066614","$7,721.737887","$8,174.797232","$8,621.767048","$8,568.658051","$9,063.565646","$9,384.772755","$9,543.390109","$9,643.309528","$9,728.447229","$9,195.426527","$9,566.096024","$12,738.774120","$12,291.832610","$12,819.995940","$14,230.296750","$15,777.963640","$17,705.235160","$19,057.798900","$20,883.548030","$23,155.821450","$19,448.183260","$21,186.814330","$23,741.557460","$25,102.726350","$25,790.730310","$25,464.760100","$22,795.448860","$22,867.181120","$24,349.909870","$25,415.846620","$25,869.112910","$23,433.187240","$26,860.072500","$30,152.034680"
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,"$1,483.003682","$1,581.303980","$1,680.494849","$1,792.422274","$1,921.437235","$2,073.829691","$2,246.849454","$2,466.520088","$2,688.944256","$3,057.322961","$3,005.784399","$3,108.954374","$3,123.463773","$3,466.054980","$3,197.702347","$2,953.224920","$3,115.538390","$3,386.626388","$3,871.339807","$5,194.462370","$5,967.767886","$6,257.786590","$6,797.830965","$7,324.186554","$8,463.464999","$9,436.232744","$9,858.295721","$10,617.405270","$10,819.268040","$11,533.260760","$11,696.511370","$11,269.950520","$11,025.878360","$10,730.000970","$11,085.147130","$11,447.017900","$11,835.386790","$20,415.706170","$21,665.387860","$23,991.700800","$24,849.606480","$25,234.144150","$26,590.140180","$26,204.880500","$26,393.413950","$28,280.870840","$28,829.849380","$29,687.865220","$29,013.630290","$27,120.690550","$27,046.657670","$26,644.926580","$28,059.655400","$27,389.601970","$28,720.662190","$29,724.953340","$29,675.535890","$30,708.987020","$31,483.978840","$32,279.011360","$23,998.268020","$28,260.432550","$31,458.300810"
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,$333.783179,$497.682847,$712.953646,$907.148870,"$1,000.417072","$1,128.398647","$1,332.210523","$1,382.767724","$1,602.563710","$2,031.402244","$2,451.577258","$2,741.080141","$3,170.174873","$3,936.932459","$4,846.792101","$4,542.310904","$4,506.933669","$4,980.906155","$4,688.345902","$5,025.240652","$5,196.969426","$4,654.609552","$4,917.263698","$5,327.393184","$6,024.491546","$6,094.723214","$6,095.102479","$7,230.198163","$7,585.375002"
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"$2,124.767944","$1,765.735895","$1,667.605057","$1,590.088117","$1,460.065500","$1,370.699283","$1,452.507105","$1,396.442019","$1,511.325316","$1,210.611720","$1,276.288034","$1,244.373185","$1,479.383417","$1,819.525792","$2,378.339757","$3,126.071767","$3,848.216026","$4,735.484753","$6,376.183153","$5,352.489591","$6,034.678852","$6,527.654969","$6,953.217307","$7,998.077953","$8,341.288104","$5,967.069185","$5,039.776032","$5,785.534975","$6,360.052060","$6,837.767232","$6,542.864540","$7,489.718947","$7,904.856243"
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,$307.128629,$319.602802,$331.201312,$341.386111,$355.643853,$382.590665,$411.338347,$425.732348,$391.899934,$401.201110,$441.171939,$479.926907,$527.756615,$616.471159,$802.056161,$903.617293,$727.455563,$863.911061,$981.048419,"$1,070.348251","$1,363.840218","$1,318.127065","$1,195.508972","$1,231.012451","$1,342.227691","$1,301.082642","$1,385.471231","$1,643.949927","$1,831.019639","$2,065.720309","$3,009.491262","$3,212.450794","$3,644.265078","$3,867.605329","$3,888.295299","$4,021.006504","$4,057.853603","$3,997.844480","$4,063.901968","$4,189.350028","$4,642.147035","$4,687.625957","$4,816.650846","$4,916.703914","$5,106.053034","$5,212.661614","$5,475.722910","$5,707.113365","$5,656.408361","$5,348.997839","$5,397.291575","$5,521.366276","$5,645.895822","$5,887.933435","$6,068.088609","$6,142.478833","$6,148.706961","$6,100.994681","$6,059.162553","$6,210.565543","$5,266.876160","$6,228.267309","$6,968.361585"
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,"$1,902.402119","$1,961.538169","$2,020.385965","$2,020.265247","$2,199.727007","$2,282.216546","$2,630.850466","$2,982.749704","$2,830.188679","$3,053.703704","$3,387.272727","$3,866.300366","$4,343.173432","$5,009.293680","$5,853.932584","$6,509.433962","$7,261.278195","$8,370.786517","$8,876.865672","$9,613.382900","$11,218.217820","$13,425.976970","$14,166.171290","$15,902.020380","$17,469.825570","$18,269.535520","$20,450.664530","$22,411.795670","$24,253.175520","$25,517.921720","$26,841.519740","$27,700.310060","$28,669.681710","$30,900.694280","$31,476.063720","$33,989.723160","$44,826.789070","$48,478.883250","$51,371.740810","$54,245.459740","$56,284.168650","$58,883.959430","$62,583.100200","$66,111.725230","$70,359.319110","$75,882.033860","$95,221.858870","$104,287.387500","$106,935.486300","$101,407.764000","$101,875.284100","$97,774.162070","$98,431.865180","$99,471.638900","$98,467.683990","$102,005.625600","$106,885.878500","$111,820.581500","$113,050.736900","$116,153.166100","$107,791.886400","$111,774.669100","$118,845.621100"
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,$101.690810,$108.356341,$116.041518,$122.367320,$135.011130,$146.853478,$159.177348,$175.962921,$195.457687,$207.224548,$221.777465,$233.694646,$262.341899,$257.630482,$418.896752,$468.955284,$520.938039,$601.693927,$685.040187,$788.063622,$791.042223,"$1,004.880903",$933.735793,$885.965191,$986.813214,$842.090217,$607.082667,$652.705759,$675.714831,$678.641319,$685.942718,$737.521373,$763.260674,$760.117622,$777.416092,$856.365113,$925.849119,$973.962570,"$1,025.409433",$981.752922,$977.329470,$930.875731,$888.198576,$892.355381,$951.951623,"$1,018.313662","$1,200.068092","$1,351.035154","$1,687.578567","$1,725.146286","$1,922.058662","$2,304.982295","$2,562.466784","$2,853.797162","$3,022.462884","$2,975.648811","$3,013.502707","$3,280.008214","$3,471.006951","$3,472.380831","$3,068.812555","$3,345.196588","$3,523.273733"
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,$232.998762,$229.336766,$247.834300,$291.404006,$254.838581,$265.475398,$325.173107,$348.021103,$370.180412,$395.441385,$439.220916,$494.802750,$577.451537,$806.354513,"$1,034.164430","$1,188.619532","$1,376.347928","$1,547.694206","$1,716.707728","$1,853.019691","$1,941.259538","$2,061.349954","$2,118.564108","$1,448.009731","$1,406.689800","$1,541.708890","$1,836.684978","$1,986.834138","$2,119.611081","$2,790.414204","$3,085.396216","$2,659.048558","$2,505.225033","$2,766.328477","$3,393.142926","$4,704.961546","$5,121.905407","$5,240.128796","$5,049.766120","$3,456.423595","$3,726.811420","$3,142.235528","$2,824.715396","$3,056.649680","$3,623.223905","$4,773.268480","$5,866.024313","$7,323.190340","$8,801.759475","$8,569.901805","$11,249.293740","$13,200.558170","$12,327.515560","$12,258.564850","$12,071.404650","$8,783.214413","$8,680.735421","$9,896.717511","$9,121.020092","$8,845.323931","$6,923.700197","$7,696.785531","$8,917.673898"
